id_seguridad_vehiculo;posee_seguro;estado_soat;tipo_seguro;posee_citv;estado_citv
1;SI;VIGENTE;SOAT;NO ESPECIFICA;NO REGISTRA
2;SI;NO APLICA;SOAT;NO ESPECIFICA;NO REGISTRA
3;SI;VIGENTE;SOAT;NO CORRESPONDE;NO APLICA
4;;NO APLICA;NULL;;NO REGISTRA
5;NO;VENCIDO;NULL;NO CORRESPONDE;NO APLICA
6;NO;NO APLICA;NULL;NO;NO REGISTRA
7;NO ESPECIFICA;VENCIDO;NULL;NO;NO REGISTRA
8;NO ESPECIFICA;NO APLICA;NULL;NO ESPECIFICA;NO REGISTRA
9;NO;VIGENTE;SOAT;NO ESPECIFICA;NO REGISTRA
10;NO;NO REGISTRA;NULL;SI;VENCIDO
11;;VIGENTE;SOAT;;VIGENTE
12;;NO APLICA;NULL;;VIGENTE
13;NO ESPECIFICA;VIGENTE;NULL;SI;VIGENTE
14;;VIGENTE;CAT;;NO APLICA
15;;VIGENTE;SOAT;;VENCIDO
16;SI;NO REGISTRA;CAT;NO ESPECIFICA;NO REGISTRA
17;;VENCIDO;NULL;;NO APLICA
18;;VENCIDO;SOAT;;NO APLICA
19;NO ESPECIFICA;NO APLICA;NULL;SI;VIGENTE
20;NO CORRESPONDE;VENCIDO;NULL;NO CORRESPONDE;NO APLICA
21;SI;VIGENTE;SOAT;SI;VENCIDO
22;SI;VIGENTE;CAT;NO ESPECIFICA;NO REGISTRA
23;SI;NO REGISTRA;CAT;NO CORRESPONDE;NO APLICA
24;NO;NO APLICA;NULL;NO CORRESPONDE;NO APLICA
25;NO CORRESPONDE;VIGENTE;NULL;NO;NO REGISTRA
26;NO;VIGENTE;SOAT;NO;NO REGISTRA
27;SI;VENCIDO;SOAT;NO;NO REGISTRA
28;SI;NO REGISTRA;SOAT;NO;NO REGISTRA
29;SI;NO APLICA;CAT;SI;VIGENTE
30;;NULL;NULL;;NULL
31;NO;NO APLICA;NULL;SI;VENCIDO
32;NO CORRESPONDE;NO APLICA;NULL;NO ESPECIFICA;NO REGISTRA
33;SI;NO REGISTRA;SOAT;NO CORRESPONDE;NO APLICA
34;NO CORRESPONDE;NO REGISTRA;NULL;NO CORRESPONDE;NO APLICA
35;SI;VENCIDO;CAT;NO ESPECIFICA;NO REGISTRA
36;NO;VIGENTE;NULL;NO ESPECIFICA;NO REGISTRA
37;SI;NO REGISTRA;CAT;NO;NO REGISTRA
38;NO ESPECIFICA;NO REGISTRA;NULL;NO ESPECIFICA;NO REGISTRA
39;;VIGENTE;NULL;;VENCIDO
40;NO;VIGENTE;NULL;NO CORRESPONDE;NO APLICA
41;SI;NO APLICA;OTRO;NO;NO REGISTRA
42;;VIGENTE;NULL;;NO APLICA
43;SI;NO APLICA;SOAT;NO CORRESPONDE;NO APLICA
44;NO ESPECIFICA;NO REGISTRA;NULL;NO;NO REGISTRA
45;SI;VENCIDO;CAT;SI;VIGENTE
46;SI;VIGENTE;OTRO;NO ESPECIFICA;NO REGISTRA
47;NO;NO REGISTRA;SOAT;SI;VIGENTE
48;SI;VENCIDO;OTRO;SI;VIGENTE
49;NO CORRESPONDE;NO APLICA;NULL;NO;NO REGISTRA
50;;NO APLICA;NULL;;NULL
51;NO CORRESPONDE;VIGENTE;NULL;NO CORRESPONDE;NULL
52;SI;VIGENTE;SOAT;SI;VIGENTE
53;;NO REGISTRA;NULL;;VENCIDO
54;SI;NO REGISTRA;SOAT;NO ESPECIFICA;NO REGISTRA
55;;NO APLICA;NULL;;NO APLICA
56;SI;VIGENTE;CAT;NO;NO REGISTRA
57;SI;NO APLICA;CAT;NO ESPECIFICA;NO REGISTRA
58;NO;NO REGISTRA;OTRO;NO;NO REGISTRA
59;NO;NO REGISTRA;NULL;SI;VIGENTE
60;;NO REGISTRA;SOAT;;VIGENTE
61;NO;NO APLICA;NULL;NO ESPECIFICA;NO REGISTRA
62;;VENCIDO;NULL;;VENCIDO
63;SI;NO APLICA;SOAT;NO;NO REGISTRA
64;NO CORRESPONDE;NULL;NULL;;NULL
65;NO ESPECIFICA;NO REGISTRA;NULL;SI;VENCIDO
66;;VENCIDO;SOAT;;VENCIDO
67;SI;NO REGISTRA;OTRO;NO;NO REGISTRA
68;SI;VENCIDO;SOAT;SI;VENCIDO
69;NO CORRESPONDE;NO APLICA;NULL;NO CORRESPONDE;NO APLICA
70;SI;NO APLICA;SOAT;SI;VIGENTE
71;;VENCIDO;SOAT;;NO REGISTRA
72;NO ESPECIFICA;NO REGISTRA;NULL;NO CORRESPONDE;NO APLICA
73;SI;VIGENTE;CAT;NO CORRESPONDE;NO APLICA
74;SI;VENCIDO;SOAT;SI;VIGENTE
75;SI;VENCIDO;CAT;NO CORRESPONDE;NO APLICA
76;NO CORRESPONDE;VIGENTE;NULL;NO CORRESPONDE;NO APLICA
77;NO ESPECIFICA;VIGENTE;NULL;NO ESPECIFICA;NO REGISTRA
78;;NULL;NULL;;NO REGISTRA
79;;VENCIDO;SOAT;;VIGENTE
80;;NO REGISTRA;NULL;;NULL
81;NO CORRESPONDE;NO APLICA;SOAT;NO CORRESPONDE;NO APLICA
82;;VIGENTE;SOAT;;NO REGISTRA
83;NO ESPECIFICA;VENCIDO;NULL;NO CORRESPONDE;NO APLICA
84;NO ESPECIFICA;VIGENTE;NULL;NO CORRESPONDE;NO APLICA
85;;VENCIDO;NULL;;NULL
86;SI;NO REGISTRA;OTRO;NO ESPECIFICA;NO REGISTRA
87;NO ESPECIFICA;NO REGISTRA;NULL;SI;VIGENTE
88;;VIGENTE;CAT;;VIGENTE
89;;VIGENTE;SOAT;;NO APLICA
90;;VIGENTE;CAT;;NO REGISTRA
91;NO ESPECIFICA;VIGENTE;NULL;SI;VENCIDO
92;NO;NO REGISTRA;NULL;NO;NO REGISTRA
93;NO;NO REGISTRA;CAT;NO;NO REGISTRA
94;NO;NO REGISTRA;OTRO;NO ESPECIFICA;NO REGISTRA
95;SI;VENCIDO;SOAT;NO CORRESPONDE;NO APLICA
96;NO;NO REGISTRA;NULL;NO CORRESPONDE;NO APLICA
97;SI;VIGENTE;OTRO;SI;VENCIDO
98;NO;NO REGISTRA;SOAT;NO;NO REGISTRA
99;NO;VIGENTE;SOAT;SI;VIGENTE
100;SI;VIGENTE;OTRO;NO CORRESPONDE;NO APLICA
101;;NO REGISTRA;NULL;;VIGENTE
102;SI;VENCIDO;CAT;NO;NO REGISTRA
103;;NO APLICA;NULL;NO CORRESPONDE;NO APLICA
104;;NO REGISTRA;SOAT;;NO REGISTRA
105;SI;NO REGISTRA;SOAT;SI;VENCIDO
106;;VIGENTE;NULL;;NULL
107;NO;VIGENTE;NULL;SI;VENCIDO
108;;VIGENTE;NULL;;VIGENTE
109;NO ESPECIFICA;NO APLICA;NULL;NO CORRESPONDE;NO APLICA
110;SI;NO REGISTRA;OTRO;SI;VIGENTE
111;NO;NO REGISTRA;SOAT;NO CORRESPONDE;NO APLICA
112;NO;VIGENTE;NULL;NO;NO REGISTRA
113;;VIGENTE;NULL;;NO REGISTRA
114;SI;VIGENTE;OTRO;SI;VIGENTE
115;;NO REGISTRA;SOAT;;NO APLICA
116;NO CORRESPONDE;VIGENTE;NULL;NO ESPECIFICA;NO REGISTRA
117;NO;VIGENTE;NULL;SI;VIGENTE
118;SI;VENCIDO;OTRO;NO ESPECIFICA;NO REGISTRA
119;SI;VENCIDO;SOAT;NO ESPECIFICA;NO REGISTRA
120;NO ESPECIFICA;VENCIDO;NULL;NO ESPECIFICA;NO REGISTRA
121;NO;VENCIDO;NULL;NO;NO REGISTRA
122;;VENCIDO;NULL;;NO REGISTRA
123;SI;NO REGISTRA;SOAT;SI;VIGENTE
124;;NO REGISTRA;NULL;;NO APLICA
125;SI;NO REGISTRA;CAT;SI;VIGENTE
126;NO CORRESPONDE;NO APLICA;OTRO;NO CORRESPONDE;NO APLICA
127;NO ESPECIFICA;NO REGISTRA;SOAT;SI;VIGENTE
128;NO ESPECIFICA;VIGENTE;NULL;NO;NO REGISTRA
129;;NO REGISTRA;NULL;;NO REGISTRA
130;NO CORRESPONDE;NO REGISTRA;NULL;NO CORRESPONDE;NULL
131;SI;VIGENTE;CAT;SI;VENCIDO
132;SI;VIGENTE;SOAT;NO;NO REGISTRA
133;NO;NO REGISTRA;NULL;NO ESPECIFICA;NO REGISTRA
134;;NULL;NULL;;NO APLICA
135;SI;VIGENTE;OTRO;NO;NO REGISTRA
136;SI;VIGENTE;CAT;SI;VIGENTE
137;NO CORRESPONDE;NULL;NULL;NO CORRESPONDE;NULL
138;;VENCIDO;NULL;;VIGENTE
139;;NO REGISTRA;CAT;;NO REGISTRA
